,FullName,University,SubField,Bachelors,Doctorate,Inst. Score,Subf. Score,Score,Empty Count
2756,Eli Gafni,"University of California, Los Angeles",Software Engineering,Technion - Israel Institute of Technology,Massachusetts Institute of Technology,0,12,12,0
2757,Eran Halperin,"University of California, Los Angeles",Comp. Bio & Bioinformatics,Tel Aviv University,Tel Aviv University,0,2,2,0
2758,George Varghese,"University of California, Los Angeles",Computer Networks,Indian Institute of Technology Bombay,Massachusetts Institute of Technology,0,34,34,0
2759,Glenn D. Reinman,"University of California, Los Angeles",Computer Architecture,Massachusetts Institute of Technology,"University of California, San Diego",0,2,2,0
2760,Guoqing (Harry) Xu,"University of California, Los Angeles",Software Engineering,East China Normal University,Ohio State University,0,12,12,0
2761,Guy Van den Broeck,"University of California, Los Angeles",Machine Learning & Data Mining,Katholieke Universiteit Leuven,Katholieke Universiteit Leuven,0,25,25,0
2762,Jason Cong,"University of California, Los Angeles",Computer Architecture,Peking University,University of Illinois at Urbana-Champaign,0,2,2,0
2763,Jason Ernst,"University of California, Los Angeles",Comp. Bio & Bioinformatics,University of Maryland,Carnegie Mellon University,0,2,2,0
2764,Jens Palsberg,"University of California, Los Angeles",Programming Languages,Aarhus University,Aarhus University,0,7,7,0
2765,Joseph J. DiStefano III,"University of California, Los Angeles",Comp. Bio & Bioinformatics,City College of New York,"University of California, Los Angeles",0,2,2,0
2766,Judea Pearl,"University of California, Los Angeles",Artificial Intelligence,Technion - Israel Institute of Technology,New York University,0,2,2,0
2767,Junghoo Cho,"University of California, Los Angeles",Databases,Seoul National University,Stanford University,0,0,0,0
2768,Kai-Wei Chang,"University of California, Los Angeles",Natural Language Processing,National Taiwan University,University of Illinois at Urbana-Champaign,0,0,0,0
2769,Lixia Zhang,"University of California, Los Angeles",Computer Networks,Massachusetts Institute of Technology,Massachusetts Institute of Technology,0,34,34,0
2770,Majid Sarrafzadeh,"University of California, Los Angeles",Embedded & Real-Time Systems,University of Illinois at Urbana-Champaign,University of Illinois at Urbana-Champaign,0,14,14,0
2771,Mani B. Srivastava,"University of California, Los Angeles",Computer Networks,Indian Institute of Technology Kanpur,"University of California, Berkeley",0,34,34,0
2772,Michael G. Dyer,"University of California, Los Angeles",Natural Language Processing,,Yale University,0,0,0,1
2773,Mihaela van der Schaar,"University of California, Los Angeles",Machine Learning & Data Mining,Eindhoven University of Technology,Eindhoven University of Technology,0,25,25,0
2774,Milos D. Ercegovac,"University of California, Los Angeles",Computer Architecture,University of Belgrade,University of Illinois at Urbana-Champaign,0,2,2,0
2775,Miodrag Potkonjak,"University of California, Los Angeles",Algorithms & Complexity,,"University of California, Berkeley",0,32,32,1
2776,Miryung Kim,"University of California, Los Angeles",Programming Languages,KAIST,University of Washington,0,7,7,0
2777,Quanquan Gu,"University of California, Los Angeles",Machine Learning & Data Mining,Tsinghua University,University of Illinois at Urbana-Champaign,0,25,25,0
2778,Rafail Ostrovsky,"University of California, Los Angeles",Cryptography,State University of New York,Massachusetts Institute of Technology,0,26,26,0
2779,Raghu Meka,"University of California, Los Angeles",Algorithms & Complexity,Indian Institute of Technology Madras,University of Texas at Austin,0,32,32,0
2780,Ravi Arun Netravali,"University of California, Los Angeles",Computer Networks,Columbia University,Massachusetts Institute of Technology,0,34,34,0
2781,Richard E. Korf,"University of California, Los Angeles",Artificial Intelligence,Massachusetts Institute of Technology,Carnegie Mellon University,0,2,2,0
2782,Sheila A. Greibach,"University of California, Los Angeles",Algorithms & Complexity,Radcliffe College,Harvard University,0,32,32,0
2783,Song Chun Zhu,"University of California, Los Angeles",Computer Vision,University of Science and Technology of China,Harvard University,0,5,5,0
2784,Songwu Lu,"University of California, Los Angeles",Computer Networks,University of Science and Technology of China,University of Illinois at Urbana-Champaign,0,34,34,0
2785,Sriram Sankararaman,"University of California, Los Angeles",Comp. Bio & Bioinformatics,Indian Institute of Technology Madras,"University of California, Berkeley",0,2,2,0
2786,Stefano Soatto,"University of California, Los Angeles",Computer Vision,"University of California, Berkeley",California Institute of Technology,0,5,5,0
2787,Todd D. Millstein,"University of California, Los Angeles",Programming Languages,Brown University,University of Washington,0,7,7,0
2788,Tony Nowatzki,"University of California, Los Angeles",Computer Architecture,University of Minnesota,University of Wisconsin-Madison,0,2,2,0
2789,Tyson Condie,"University of California, Los Angeles",Databases,"University of California, Berkeley","University of California, Berkeley",0,0,0,0
2790,Wei Wang,"University of California, Los Angeles",Machine Learning & Data Mining,,Binghamton University,0,25,25,1
2791,Yizhou Sun,"University of California, Los Angeles",Machine Learning & Data Mining,Peking University,University of Illinois at Urbana-Champaign,0,25,25,0
2792,Yuval Tamir,"University of California, Los Angeles",High-Performance Computing,"University of California, Berkeley","University of California, Berkeley",0,7,7,0
2793,Marcelo Kallmann,"University of California, Merced",Computer Graphics,Universidade do Estado do Rio de Janeiro,ETH Zurich,0,14,14,0
2794,Ahmed Eldawy,"University of California, Riverside",Databases,Alexandria University,University of Minnesota,0,0,0,0
2795,Amey Bhangale,"University of California, Riverside",Computer Vision,Jadavpur University,University of Maryland,0,5,5,0
2796,Amit K. Roy-Chowdhury,"University of California, Riverside",Computer Vision,Jadavpur University,University of Maryland,0,5,5,0
2797,Amr Magdy,"University of California, Riverside",,Alexandria University,University of Minnesota,0,0,0,1
2798,Bir Bhanu,"University of California, Riverside",Computer Vision,Indian Institute of Technology (BHU) Varanasi,University of Southern California,0,5,5,0
2799,Chengyu Song,"University of California, Riverside",Computer Networks,Peking University,Georgia Institute of Technology,0,34,34,0
2800,Chinya V. Ravishankar,"University of California, Riverside",Operating Systems,Indian Institute of Technology Bombay,University of Wisconsin-Madison,0,0,0,0
2801,Christian R. Shelton,"University of California, Riverside",Artificial Intelligence,Stanford University,Massachusetts Institute of Technology,0,2,2,0
2802,Craig A. Schroeder,"University of California, Riverside",Computer Graphics,Drexel University,Stanford University,0,14,14,0
2803,Daniel Wong,"University of California, Riverside",,University of Southern California,University of Southern California,0,0,0,1
2804,Eamonn J. Keogh,"University of California, Riverside",Machine Learning & Data Mining,California State University,"University of California, Irvine",0,25,25,0
2805,Frank Vahid,"University of California, Riverside",Embedded & Real-Time Systems,University of Illinois at Urbana-Champaign,"University of California, Irvine",0,14,14,0
2806,Heng Yin,"University of California, Riverside",Computer Security,Huazhong University of Science and Technology,College of William & Mary,0,31,31,0
2807,Hung-Wei Tseng,"University of California, Riverside",Computer Architecture,National Taiwan University,"University of California, San Diego",0,2,2,0
2808,Hyoseung Kim,"University of California, Riverside",Embedded & Real-Time Systems,Yonsei University,Carnegie Mellon University,0,14,14,0
2809,Jiasi Chen,"University of California, Riverside",,Columbia University,Princeton University,0,0,0,1
2810,K. K. Ramakrishnan,"University of California, Riverside",Computer Networks,Bangalore University,University of Maryland,0,34,34,0
2811,Konstantinos Karydis,"University of California, Riverside",Robotics,National Technical University of Athens,University of Delaware,0,62,62,0
2812,Laxmi N. Bhuyan,"University of California, Riverside",Computer Architecture,Sambalpur University,Wayne State University,0,2,2,0
2813,M. Salman Asif,"University of California, Riverside",Machine Learning & Data Mining,University of Engineering and Technology,Georgia Institute of Technology,0,25,25,0
2814,Manu Sridharan,"University of California, Riverside",Programming Languages,Massachusetts Institute of Technology,"University of California, Berkeley",0,7,7,0
2815,Marek Chrobak,"University of California, Riverside",Algorithms & Complexity,,University of Warsaw,0,32,32,1
2816,Mart L. Molle,"University of California, Riverside",Computer Networks,Queen's University,"University of California, Los Angeles",0,34,34,0
2817,Michael J. Pazzani,"University of California, Riverside",Machine Learning & Data Mining,University of Connecticut,"University of California, Los Angeles",0,25,25,0
2818,Michalis Faloutsos,"University of California, Riverside",Computer Security,National Technical University of Athens,University of Toronto,0,31,31,0
2819,Mohsen Lesani,"University of California, Riverside",Programming Languages,University of Tehran,"University of California, Los Angeles",0,7,7,0
2820,Nael B. Abu-Ghazaleh,"University of California, Riverside",Computer Architecture,University of Jordan,University of Cincinnati,0,2,2,0
2821,Neal E. Young,"University of California, Riverside",Algorithms & Complexity,Cornell University,Princeton University,0,32,32,0
2822,Philip Brisk,"University of California, Riverside",Embedded & Real-Time Systems,"University of California, Los Angeles","University of California, Los Angeles",0,14,14,0
2823,Rajiv Gupta,"University of California, Riverside",High-Performance Computing,Indian Institute of Technology Delhi,University of Pittsburgh,0,7,7,0
2824,Samet Oymak,"University of California, Riverside",Software Engineering,Bilkent University,California Institute of Technology,0,12,12,0
2825,Shaolei Ren,"University of California, Riverside",,Tsinghua University,"University of California, Los Angeles",0,0,0,1
2826,Sheldon X.-D. Tan,"University of California, Riverside",,Fudan University,University of Iowa,0,0,0,1
2827,Silas Richelson,"University of California, Riverside",,,"University of California, Los Angeles",0,0,0,2
2828,Srikanth V. Krishnamurthy,"University of California, Riverside",Computer Networks,Birla Institute of Technology and Science,"University of California, San Diego",0,34,34,0
2829,Stefano Lonardi,"University of California, Riverside",Comp. Bio & Bioinformatics,University of Pisa,Purdue University,0,2,2,0
2830,Tamar Shinar,"University of California, Riverside",Comp. Bio & Bioinformatics,University of Illinois at Urbana-Champaign,Stanford University,0,2,2,0
2831,Tao Jiang,"University of California, Riverside",Algorithms & Complexity,University of Science and Technology of China,University of Minnesota,0,32,32,0
2832,Teodor Przymusinski,"University of California, Riverside",,,Institute of Mathematics of the PAS,0,0,0,2
2833,Thomas Payne,"University of California, Riverside",Operating Systems,,University of Notre Dame,0,0,0,1
2834,Vagelis Hristidis,"University of California, Riverside",Databases,National Technical University of Athens,"University of California, San Diego",0,0,0,0
2835,Vagelis Hristidis (official name: Evangelos Christidis),"University of California, Riverside",Databases,National Technical University of Athens,"University of California, San Diego",0,0,0,0
2836,Vagelis Papalexakis,"University of California, Riverside",Machine Learning & Data Mining,Technical University of Crete,Carnegie Mellon University,0,25,25,0
2837,Vassilis J. Tsotras,"University of California, Riverside",Databases,National Technical University of Athens,Columbia University,0,0,0,0
